year	firm	evtdate
2006	600511	20070425
2006	600512	20070403
2006	600513	20070426
2006	600515	20070413
2006	600516	20070327
2006	600517	20070215
2006	600518	20070323
2006	600519	20070403
2006	600520	20070331
2006	600521	20070322
2006	600522	20070418
2006	600523	20070309
2006	600525	20070329
2006	600526	20070424
2006	600527	20070112
2006	600528	20070428
2006	600529	20070327
2006	600530	20070321
2006	600531	20070313
2006	600532	20070417
2006	600533	20070328
2006	600535	20070410
2006	600536	20070421
2006	600537	20070417
2006	600538	20070424
2006	600539	20070416
2006	600540	20070215
2006	600543	20070417
2006	600545	20070317
2006	600546	20070424
2006	600547	20070207
2006	600548	20070305
2006	600549	20070330
2006	600550	20070410
2006	600551	20070330
2006	600552	20070428
2006	600553	20070308
2006	600555	20070424
2006	600556	20070430
2006	600557	20070313
2006	600558	20070327
2006	600559	20070331
2006	600560	20070410
2006	600561	20070320
2006	600562	20070418
2006	600563	20070308
2006	600565	20070412
2006	600566	20070322
2006	600567	20070315
2006	600568	20070418
2006	600569	20070418
2006	600570	20070320
2006	600571	20070427
2006	600572	20070201
2006	600573	20070410
2006	600575	20070208
2006	600576	20070430
2006	600577	20070130
2006	600578	20070402
2006	600579	20070430
2006	600580	20070403
2006	600581	20070309
2006	600582	20070426
2006	600583	20070314
2006	600584	20070416
2006	600585	20070413
2006	600586	20070316
2006	600587	20070206
2006	600588	20070328
2006	600589	20070403
2006	600590	20070320
2006	600591	20070430
2006	600592	20070331
2006	600593	20070407
2006	600594	20070412
2006	600595	20070310
2006	600596	20070327
2006	600597	20070326
2006	600598	20070421
2006	600599	20070426
2006	600600	20070420
2006	600601	20070407
2006	600602	20070428
2006	600603	20070421
2006	600604	20070410
2006	600605	20070427
2006	600606	20070331
2006	600607	20070419
2006	600608	20070428
2006	600609	20070323
2006	600610	20070428
2006	600611	20070324
2006	600612	20070425
2006	600613	20070427
2006	600614	20070428
2006	600615	20070214
2006	600616	20070228
2006	600617	20070428
2006	600618	20070321
2006	600619	20070324
2006	600620	20070412
2006	600621	20070310
2006	600622	20070418
2006	600623	20070313
2006	600624	20070426
2006	600626	20070331
2006	600627	20070412
2006	600628	20070430
2006	600629	20070430
2006	600630	20070331
2006	600631	20070428
2006	600633	20070310
2006	600634	20070330
2006	600635	20070427
2006	600636	20070301
2006	600637	20070428
2006	600638	20070428
2006	600639	20070421
2006	600640	20070421
2006	600641	20070428
2006	600642	20070427
2006	600643	20070428
2006	600644	20070417
2006	600645	20070430
2006	600647	20070426
2006	600648	20070430
2006	600649	20070330
2006	600650	20070411
2006	600651	20070428
2006	600652	20070414
2006	600653	20070427
2006	600654	20070331
2006	600655	20070421
2006	600656	20070428
2006	600657	20070418
2006	600658	20070331
2006	600660	20070306
2006	600661	20070322
2006	600662	20070424
2006	600663	20070324
2006	600664	20070426
2006	600665	20070425
2006	600666	20070317
2006	600667	20070427
2006	600668	20070424
2006	600671	20070430
2006	600673	20070212
2006	600674	20070417
2006	600675	20070306
2006	600676	20070308
2006	600677	20070428
2006	600678	20070306
2006	600679	20070421
2006	600680	20070421
2006	600681	20070430
2006	600682	20070426
2006	600683	20070428
2006	600684	20070331
2006	600685	20070330
2006	600686	20070418
2006	600687	20070428
2006	600688	20070330
2006	600689	20070427
2006	600690	20070427
2006	600691	20070428
2006	600692	20070403
2006	600693	20070421
2006	600694	20070404
2006	600695	20070427
2006	600696	20070331
2006	600697	20070420
2006	600698	20070421
2006	600699	20070424
2006	600701	20070427
2006	600702	20070323
2006	600703	20070430
2006	600704	20070417
2006	600705	20070427
2006	600706	20070424
2006	600707	20070413
2006	600708	20070410
2006	600710	20070123
2006	600711	20070126
2006	600712	20070426
2006	600713	20070310
2006	600714	20070324
2006	600715	20070428
2006	600716	20070427
2006	600717	20070330
2006	600718	20070216
2006	600719	20070317
2006	600720	20070313
2006	600721	20070126
2006	600722	20070430
2006	600723	20070317
2006	600724	20070421
2006	600725	20070130
2006	600726	20070310
2006	600727	20070427
2006	600728	20070427
2006	600729	20070420
2006	600730	20070417
2006	600731	20070426
2006	600732	20070317
2006	600733	20070427
2006	600734	20070417
2006	600735	20070428
2006	600736	20070410
2006	600737	20070215
2006	600738	20070316
2006	600739	20070418
2006	600740	20070216
2006	600741	20070331
2006	600742	20070424
2006	600743	20070428
2006	600744	20070428
2006	600745	20070430
2006	600746	20070418
2006	600747	20070428
2006	600748	20070420
2006	600749	20070427
2006	600750	20070315
2006	600751	20070430
2006	600753	20070430
2006	600754	20070410
2006	600755	20070306
2006	600756	20070414
2006	600757	20070428
2006	600758	20070215
2006	600759	20070417
2006	600760	20070428
2006	600761	20070418
2006	600762	20070430
